id,token,user_id_from_filename,label,root_time_unix,root_likes,root_comments,root_reposts,cascade_size,forward_count_estimated,propagation_depth,depth_mean,depth_median,max_breadth,time_to_root_min_s,time_to_root_median_s,time_to_root_mean_s,time_to_root_max_s,virality_score_mean_depth,repost_file_found
1021,zdG5svBnF,2635247594,rumor,1357721054,6,100,777,753,481,6,1.512616,1.000000,481,31202.000000,104650.000000,402303.187251,6671883.000000,1.512616,True
1023,yBnQnf91X,1900786807,rumor,1347349237,2,82,308,293,108,6,1.955631,2.000000,130,28873.000000,33826.000000,567379.341297,20338621.000000,1.955631,True
1024,zhP5HuLrt,1318945581,rumor,1360076449,0,34,153,123,67,5,1.642276,1.000000,67,28903.000000,33275.000000,345244.121951,5143894.000000,1.642276,True
1026,z8u7neKFm,2265438154,rumor,1354770270,2,48,228,197,97,6,1.796954,2.000000,97,28996.000000,67811.000000,150017.390863,10521699.000000,1.796954,True
1027,AzhzWw8R8,1227467604,rumor,1393839101,96,212,718,709,371,3,1.485836,1.000000,371,28824.000000,31969.000000,40383.616361,722668.000000,1.485836,True
1029,yyv7uo3lt,2848973150,rumor,1345711268,2,207,628,557,176,8,2.298025,2.000000,176,28951.000000,83310.000000,95915.511670,1343159.000000,2.298025,True
1030,z0qcrFpJV,2560339090,rumor,1350188615,0,17,212,196,101,9,2.525510,1.000000,101,28832.000000,54793.000000,190756.836735,9042214.000000,2.525510,True
1031,z06ZS2pSV,2625677020,rumor,1350012624,4,92,145,137,120,4,1.145985,1.000000,120,28850.000000,35324.000000,186934.284672,9184957.000000,1.145985,True
1032,zrO9lpZsM,1762675215,rumor,1365750004,4,81,190,187,138,5,1.438503,1.000000,138,28872.000000,32381.000000,41864.871658,286318.000000,1.438503,True
1035,z9oF5cjUD,2143144905,rumor,1355288482,13,240,309,296,255,4,1.168919,1.000000,255,28829.000000,33233.500000,84565.567568,6081579.000000,1.168919,True
1036,zEvlwdRFf,1496861097,rumor,1372964509,1,44,773,734,82,2,1.888283,2.000000,652,40881.000000,63288.000000,222284.787466,55033517.000000,1.888283,True
1037,znhAygwc8,2483860303,rumor,1363178713,5,35,97,93,84,7,1.268817,1.000000,84,28885.000000,31998.000000,94564.677419,1066490.000000,1.268817,True
1039,zfXJZ16hS,1735063397,rumor,1359019284,0,36,146,111,35,7,2.486486,2.000000,35,28975.000000,86426.000000,100447.513514,672303.000000,2.486486,True
1040,zib6Dd0NE,1009075837,rumor,1360278210,1,52,545,523,142,12,3.101338,2.000000,142,29178.000000,43482.000000,73138.847036,1232640.000000,3.101338,True
1041,zgB5vztHc,1787532275,rumor,1359379894,4,377,999,764,503,8,1.545812,1.000000,503,28843.000000,38281.000000,69354.780105,2898307.000000,1.545812,True
1042,z5ShywJKA,2484089162,rumor,1353287076,1,133,590,587,185,10,2.836457,2.000000,185,28981.000000,234954.000000,337029.367973,3460374.000000,2.836457,True
1043,zlLXV6khN,1745530925,rumor,1362320674,10,132,511,496,316,6,1.542339,1.000000,316,28871.000000,83416.000000,76416.558468,362274.000000,1.542339,True
1045,A7UoT0CgL,2876127394,rumor,1378284782,6,103,285,228,45,2,1.802632,2.000000,183,29172.000000,33320.000000,79884.442982,3162635.000000,1.802632,True
1047,zthLxyqdD,1253347132,rumor,1366589648,3,16,117,105,65,7,2.009524,1.000000,65,28966.000000,35305.000000,65468.790476,780063.000000,2.009524,True
1049,ABrSf6qoI,2570642542,rumor,1395069890,13,27,109,96,61,2,1.357895,1.000000,61,28918.000000,31250.000000,49158.520833,113812.000000,1.357895,True
1050,AB9100DYc,1596987713,rumor,1394897053,4,85,235,213,75,2,1.646226,2.000000,137,28901.000000,34982.000000,56501.262911,288771.000000,1.646226,True
1051,yFCtQs3pw,1312890425,rumor,1349756254,0,20,113,106,72,5,1.500000,1.000000,72,28862.000000,60341.000000,102499.556604,4332031.000000,1.500000,True
1052,znBxy3S3M,2647451413,rumor,1363361566,2,36,148,135,112,3,1.185185,1.000000,112,30008.000000,37155.000000,59046.674074,1311388.000000,1.185185,True
1053,AjUUMagsZ,2311241274,rumor,1385108116,5,80,387,380,109,3,1.986737,2.000000,164,30632.000000,57324.500000,534125.115789,49250368.000000,1.986737,True
1054,zChiYlLDT,2340498132,rumor,1371699389,3,16,154,148,24,2,1.837838,2.000000,124,29897.000000,37299.000000,40219.797297,120427.000000,1.837838,True
1055,zyvzRr8b6,2370587544,rumor,1369557319,4,62,107,107,88,2,1.177570,1.000000,88,28873.000000,33791.000000,70744.252336,2542216.000000,1.177570,True
1056,A3DUCfdi4,2285386644,rumor,1375860800,9,137,332,324,133,2,1.588235,2.000000,190,28885.000000,59234.500000,260516.780864,9096839.000000,1.588235,True
1060,zjUS6mQXp,1904181455,rumor,1361265860,0,13,283,277,151,6,1.812274,1.000000,151,28848.000000,36105.000000,46838.415162,250544.000000,1.812274,True
1061,zssvkos86,2145494291,rumor,1366119846,4,34,123,121,95,3,1.247934,1.000000,95,28830.000000,34898.000000,129700.735537,11179355.000000,1.247934,True
1062,zsyhXxTur,2518895162,rumor,1366172858,1,32,99,92,71,3,1.260870,1.000000,71,28937.000000,31459.500000,43419.500000,665474.000000,1.260870,True
1063,znmeK7dTG,2388100805,rumor,1363221314,0,28,394,383,272,6,1.441253,1.000000,272,28833.000000,81266.000000,94898.720627,950017.000000,1.441253,True
1064,zBgXsiGFy,2013496773,rumor,1371127990,1,67,176,127,36,2,1.716535,2.000000,91,28932.000000,42818.000000,56570.212598,198066.000000,1.716535,True
1065,zf2aO2gig,2320149127,rumor,1358491689,1,97,979,816,460,13,2.229167,1.000000,460,28840.000000,44235.000000,95899.987745,15986007.000000,2.229167,True
1066,yBIwohplE,2137665200,rumor,1347538744,0,24,98,94,73,2,1.223404,1.000000,73,28852.000000,79003.000000,538118.351064,5360775.000000,1.223404,True
1068,ztkYPfFaj,1676899061,rumor,1366619106,6,49,127,120,78,5,1.508333,1.000000,78,28978.000000,51019.500000,173899.733333,3320914.000000,1.508333,True
1069,zkoCQ8ihz,2055616613,rumor,1361538549,0,6,113,111,52,8,2.288288,2.000000,52,29325.000000,39662.000000,61561.342342,735485.000000,2.288288,True
106,ACqdQlG5Y,1147562814,rumor,1395622972,9,40,197,147,26,3,1.965517,2.000000,98,28958.000000,65661.000000,94761.435374,1672764.000000,1.965517,True
1070,zAn1SBbtA,3220432741,rumor,1370615413,99,336,799,713,334,2,1.531557,2.000000,379,28881.000000,76461.000000,280855.427770,16630873.000000,1.531557,True
1071,AlpNXeg7K,2686579097,rumor,1385959433,5,19,79,78,19,3,2.250000,2.500000,38,28924.000000,32933.000000,38006.807692,237001.000000,2.250000,True
1072,zbY6Pgwfk,3089923915,rumor,1356749787,0,24,123,111,67,8,2.099099,1.000000,67,33902.000000,38953.000000,274888.819820,6028947.000000,2.099099,True
1073,z1bePqEL4,1935575602,rumor,1350619713,13,206,569,517,283,8,1.839458,1.000000,283,28882.000000,32186.000000,66022.092843,1484941.000000,1.839458,True
1075,zq9lDkpR8,2502219832,rumor,1364807843,1,24,115,107,27,7,2.373832,2.000000,42,29910.000000,605415.000000,790106.289720,2303549.000000,2.373832,True
1076,zss7UmYio,2805105382,rumor,1366116383,7,36,137,132,79,6,1.560606,1.000000,79,29030.000000,36393.500000,112353.893939,1554791.000000,1.560606,True
1077,zlpxU0hf7,2061184527,rumor,1362115204,1,27,197,193,133,4,1.409326,1.000000,133,28833.000000,35633.000000,124357.227979,2226636.000000,1.409326,True
1082,zn4kTpIqx,2871354341,rumor,1363057257,2,46,314,294,89,14,4.275510,3.000000,89,29056.000000,119294.500000,223698.333333,20686008.000000,4.275510,True
1084,AqAAizG20,2169519682,rumor,1388899321,87,100,444,422,250,3,1.408551,1.000000,250,28814.000000,34790.500000,583993.170616,5044484.000000,1.408551,True
1086,Aixii1a5x,1977492003,rumor,1384323416,19,208,782,755,472,2,1.372340,1.000000,472,28860.000000,44615.000000,504595.720530,45834975.000000,1.372340,True
1088,zhi4Szb9u,2468364762,rumor,1359773887,0,29,253,242,195,5,1.239669,1.000000,195,28904.000000,692156.500000,718537.942149,1496675.000000,1.239669,True
1089,ABvfmCTjm,2791967361,rumor,1395100803,142,112,310,307,247,2,1.192810,1.000000,247,28853.000000,34792.000000,57455.957655,1718171.000000,1.192810,True
1091,yx5B13HdG,1414991043,rumor,1344909129,0,38,116,81,70,4,1.172840,1.000000,70,29905.000000,43823.000000,45359.629630,104764.000000,1.172840,True
1092,zCP3aEj2P,2193971747,rumor,1372008657,1,29,155,149,29,2,1.805369,2.000000,120,48339.000000,307349.000000,367608.100671,1882695.000000,1.805369,True
1093,ywe8dF1ag,1727937757,rumor,1344419138,9,124,300,289,229,4,1.280277,1.000000,229,28953.000000,41317.000000,79077.948097,1482267.000000,1.280277,True
1094,z6XKzniRM,1878758834,rumor,1353905407,0,28,583,560,194,8,2.210714,2.000000,198,29782.000000,66928.500000,437215.366071,32530779.000000,2.210714,True
1095,zkQPHqc9I,1954266565,rumor,1361797067,0,39,152,135,44,7,2.540741,2.000000,44,28930.000000,32612.000000,45788.437037,238311.000000,2.540741,True
1097,A3mzJFFyS,2619436064,rumor,1375701910,2,41,186,177,48,2,1.728814,2.000000,129,28841.000000,50916.000000,154733.367232,1798160.000000,1.728814,True
1098,zs976y2to,2157801852,rumor,1365942134,0,48,207,184,120,6,1.635870,1.000000,120,29014.000000,99298.000000,119887.315217,285325.000000,1.635870,True
1099,ywcUwDWf6,2005951073,rumor,1344407950,0,20,97,89,48,6,1.943820,1.000000,48,28874.000000,32446.000000,36153.921348,96647.000000,1.943820,True
109,zcg8AsyFO,3071194083,rumor,1356915015,0,26,137,130,40,8,2.538462,2.000000,40,30378.000000,39844.000000,74640.900000,440291.000000,2.538462,True
1100,zaPYuDLTW,3030546072,rumor,1356107020,5,79,778,369,349,2,1.054201,1.000000,349,29071.000000,70015.000000,142956.731707,2167506.000000,1.054201,True
1104,ApeHxaKyn,1818359697,rumor,1388130547,0,0,131,132,10,2,1.923664,2.000000,121,29635.000000,38898.000000,187525.212121,2527501.000000,1.923664,True
1106,yDXaVtAa2,2765114950,rumor,1348809480,3,132,472,435,303,4,1.381609,1.000000,303,28953.000000,40374.000000,380719.206897,30554918.000000,1.381609,True
1107,yqA8PDev6,2011751977,rumor,1341211545,0,31,144,135,33,10,3.651852,3.000000,33,28993.000000,48371.000000,102938.074074,2211567.000000,3.651852,True
1110,zEy9yo80h,1973632934,rumor,1372990233,22,202,731,690,472,2,1.315942,1.000000,472,28844.000000,32735.500000,44084.718841,628615.000000,1.315942,True
1113,zueiHkljo,2107500180,rumor,1367126108,5,67,168,154,103,6,1.558442,1.000000,103,28831.000000,32517.500000,171546.571429,2284160.000000,1.558442,True
1116,zlsjBD4CP,2157801852,rumor,1362140583,13,355,655,502,332,11,1.695219,1.000000,332,28909.000000,49440.000000,159910.619522,16450404.000000,1.695219,True
1117,AzQTe0rq0,1849142757,rumor,1394162719,10,41,145,141,91,3,1.442857,1.000000,91,28994.000000,631989.000000,606524.893617,3354165.000000,1.442857,True
1118,yCpLIzEZY,1560201224,rumor,1347935099,0,22,114,108,61,6,1.814815,1.000000,61,28856.000000,31484.000000,37710.240741,140903.000000,1.814815,True
1120,AF5Y5zX4d,2862729530,rumor,1397142001,21,79,476,3,3,1,1.000000,1.000000,3,29195.000000,35970.000000,45457.000000,71206.000000,1.000000,True
1121,z0opShFf9,2284352494,rumor,1350172269,3,98,459,419,352,4,1.181384,1.000000,352,28843.000000,45358.000000,263608.408115,42481308.000000,1.181384,True
1122,zp44pujZN,2686224303,rumor,1364191257,8,130,502,454,148,14,3.859031,4.000000,148,2565517.000000,2607033.000000,2626052.689427,3595164.000000,3.859031,True
1124,z4zqK6C0p,3089923915,rumor,1352546084,1,45,192,170,111,3,1.411765,1.000000,111,29192.000000,2451607.000000,1957633.747059,4981487.000000,1.411765,True
1125,zjzriehob,2939266702,rumor,1361069440,1,65,196,173,76,10,2.508671,2.000000,76,29508.000000,806117.000000,680984.658960,3026766.000000,2.508671,True
1126,yybsHoqRu,1796308821,rumor,1345531107,1,64,203,189,84,5,1.793651,2.000000,84,28869.000000,113225.000000,181633.814815,7610242.000000,1.793651,True
1127,zb3Xhu1qX,2895609502,rumor,1356235146,2,74,114,105,94,3,1.123810,1.000000,94,28874.000000,53991.000000,146722.390476,1840599.000000,1.123810,True
1130,zCI0t30Hr,3122026694,rumor,1371944103,4,43,805,773,120,2,1.844761,2.000000,653,29738.000000,141893.000000,234699.715395,19585066.000000,1.844761,True
1131,yCBoDCQyp,2024757320,rumor,1348041665,0,0,664,634,384,11,1.772871,1.000000,384,28909.000000,51537.500000,273975.009464,6189512.000000,1.772871,True
1133,yqeSwcpgf,1883497310,rumor,1341016671,1,148,223,186,97,5,1.736559,1.000000,97,28976.000000,144223.500000,144046.521505,330546.000000,1.736559,True
1135,yyB0mmMxH,2215957967,rumor,1345765203,24,137,411,391,351,4,1.153453,1.000000,351,28877.000000,32271.000000,229811.843990,39022023.000000,1.153453,True
1137,z8YPoiJYw,1570746453,rumor,1355051722,3,94,274,253,79,9,2.861660,2.000000,79,28962.000000,137904.000000,234787.193676,1201408.000000,2.861660,True
1138,z5iTvgxSG,2716135910,rumor,1352962752,14,98,417,396,256,12,1.848485,1.000000,256,28975.000000,40884.500000,233124.348485,11363115.000000,1.848485,True
1139,zeIafuR4K,1937908342,rumor,1358308312,3,69,367,337,104,7,2.053412,2.000000,174,28864.000000,34589.000000,348446.738872,40706350.000000,2.053412,True
1141,A3Q4xfRNu,2736092350,rumor,1375972243,2,65,142,141,15,2,1.893617,2.000000,126,29332.000000,68876.000000,83370.177305,430687.000000,1.893617,True
1142,ztFUDwkg0,1916856232,rumor,1366810946,1,38,231,208,88,7,2.004808,2.000000,88,29072.000000,66216.000000,73220.870192,783146.000000,2.004808,True
1143,AltcQasXj,2119137560,rumor,1385990608,8,40,94,89,38,2,1.568182,2.000000,50,30066.000000,504884.000000,661281.056180,2487817.000000,1.568182,True
1144,ADxgYvbvw,1392498205,rumor,1396255807,605,544,486,474,420,2,1.113924,1.000000,420,28955.000000,30355.000000,31848.949367,119753.000000,1.113924,True
1145,yByzWrvB5,2471318363,rumor,1347447620,0,33,211,196,165,4,1.188776,1.000000,165,28877.000000,33339.000000,334922.765306,16019481.000000,1.188776,True
1146,zoDMd0OKV,1886212667,rumor,1363950281,0,47,215,174,74,6,2.270115,2.000000,74,46341.000000,84385.500000,86906.281609,280187.000000,2.270115,True
1147,zyyxfF4QD,1799203410,rumor,1369584429,4,75,168,145,83,2,1.427586,1.000000,83,28873.000000,61766.000000,1246734.675862,80463508.000000,1.427586,True
1148,yzqtXhcyl,1649597805,rumor,1346236983,0,196,588,561,404,5,1.361854,1.000000,404,28824.000000,31589.000000,308745.014260,18177020.000000,1.361854,True
1151,zeWR6aF8n,1768946503,rumor,1358442953,0,26,100,98,41,5,2.000000,2.000000,41,28847.000000,58356.000000,263482.183673,9534139.000000,2.000000,True
1153,zAm1Z4Q6c,1683077013,rumor,1370606265,153,354,391,374,244,2,1.347594,1.000000,244,28855.000000,44943.500000,95288.155080,2883362.000000,1.347594,True
1155,znTyjqvKS,1408722714,rumor,1363526646,7,75,268,247,147,5,1.599190,1.000000,147,28984.000000,30102.000000,35629.510121,256437.000000,1.599190,True
115,ywS69xX1w,2077944001,rumor,1344785426,0,68,218,203,178,3,1.142857,1.000000,178,28893.000000,32698.000000,102830.266010,2877766.000000,1.142857,True
1178,AlB5HnE8F,2033214055,rumor,1386062870,1,12,96,95,35,2,1.631579,2.000000,60,28983.000000,539330.000000,718638.736842,2152707.000000,1.631579,True
1180,yvT0H6gYn,2320664663,rumor,1344225564,13,474,754,711,544,6,1.299578,1.000000,544,28858.000000,41281.000000,1004614.630098,20179559.000000,1.299578,True
1181,zk4TGa53u,1657006181,rumor,1361357743,5,28,129,123,88,6,1.479675,1.000000,88,28875.000000,39978.000000,97023.479675,1474168.000000,1.479675,True
1186,yBgjisa4i,2165618650,rumor,1347280195,0,43,284,269,193,6,1.434944,1.000000,193,28821.000000,31903.000000,226142.710037,4774235.000000,1.434944,True
1187,zsZj5ocOw,2184727453,rumor,1366420474,0,15,96,95,32,6,2.315789,2.000000,32,29034.000000,30044.000000,30901.557895,38627.000000,2.315789,True
1189,z59T0lw95,1651566070,rumor,1352880195,1,21,235,229,61,11,3.000000,3.000000,61,28920.000000,88813.000000,153122.296943,1888552.000000,3.000000,True
118,z6Ozmc2ez,2738894620,rumor,1353821266,2,67,241,220,121,5,1.672727,1.000000,121,28965.000000,39109.500000,646744.481818,10541078.000000,1.672727,True
1190,zqLkkr1ki,1626112207,rumor,1365155916,1,60,141,132,95,5,1.386364,1.000000,95,28867.000000,40018.500000,49953.477273,254130.000000,1.386364,True
1191,z3aUyhOeF,2106762234,rumor,1351753151,2,96,136,122,51,6,1.959016,2.000000,51,28869.000000,32259.000000,55281.696721,575371.000000,1.959016,True
1192,ywb2pz3nt,1574735367,rumor,1344390786,0,141,239,209,144,8,1.588517,1.000000,144,30930.000000,53190.000000,72201.287081,543425.000000,1.588517,True
1193,z8pOonXU6,2981914000,rumor,1354730805,1,41,145,119,62,4,1.697479,1.000000,62,46271.000000,68215.000000,379776.571429,9410556.000000,1.697479,True
1197,ztcoMz3IY,2806749204,rumor,1366540459,56,197,812,787,614,5,1.296061,1.000000,614,28817.000000,33708.000000,97215.444727,2603630.000000,1.296061,True
1198,zrmZYpRhK,1063768873,rumor,1365501169,1,34,196,157,66,6,2.095541,2.000000,66,29108.000000,46362.000000,71067.923567,1030842.000000,2.095541,True
1200,A02p67frz,1095380460,rumor,1373812387,0,30,97,93,14,2,1.849462,2.000000,79,29092.000000,63952.000000,60670.193548,202055.000000,1.849462,True
1201,AA49h3zYh,1692769643,rumor,1394284234,18,141,504,210,197,2,1.061905,1.000000,197,28836.000000,264357.000000,273351.614286,692364.000000,1.061905,True
1204,zt8HnEcXq,1914963992,rumor,1366506549,0,43,100,90,68,3,1.266667,1.000000,68,28959.000000,33928.000000,296941.800000,2102111.000000,1.266667,True
1205,ABmgNnNYP,2128372947,rumor,1395018531,16,58,298,296,142,2,1.520270,2.000000,154,28860.000000,31887.000000,68079.266892,8095167.000000,1.520270,True
1206,zaLsBAMQC,1833538627,rumor,1356065648,5,93,415,366,207,5,1.603825,1.000000,207,28881.000000,59235.000000,760568.322404,21210905.000000,1.603825,True
1209,zgzwtER7l,2739355124,rumor,1359365550,2,49,168,161,82,5,1.708075,1.000000,82,28837.000000,44423.000000,119742.310559,3377957.000000,1.708075,True
120,ABmST087I,1700132950,rumor,1395024161,3,23,115,115,30,2,1.739130,2.000000,85,29028.000000,31974.000000,190616.678261,2175060.000000,1.739130,True
1211,zomyPxaWj,2489183324,rumor,1363792502,1,26,242,233,76,5,1.832618,2.000000,125,28928.000000,84021.000000,153506.858369,5279476.000000,1.832618,True
1212,AhUGA2hHE,1222050532,rumor,1383969580,4,39,156,137,63,3,1.582090,2.000000,64,28884.000000,60813.000000,124387.554745,551997.000000,1.582090,True
1213,AqStjhlAd,2825189572,rumor,1389063254,47,58,682,666,350,2,1.472097,1.000000,350,28831.000000,284215.000000,1324570.007530,55284355.000000,1.472097,True
1214,z1e1frmkl,1444127722,rumor,1350645200,2,160,466,383,191,6,1.791123,2.000000,191,28902.000000,85980.000000,110070.791123,1182297.000000,1.791123,True
1216,zgxlVAmbU,1809803051,rumor,1359345662,0,12,105,104,27,6,3.288462,3.000000,37,28835.000000,52904.500000,298790.105769,4787939.000000,3.288462,True
1217,zvrqt14xv,2673085781,rumor,1367814617,1,18,152,99,75,4,1.303030,1.000000,75,28998.000000,31017.000000,33497.383838,71513.000000,1.303030,True
1219,yzeJL1u1I,1496846867,rumor,1346129341,0,76,239,220,99,6,1.986364,2.000000,99,28882.000000,38692.000000,41397.918182,320280.000000,1.986364,True
1220,zg4r5rvSF,1979415922,rumor,1359080643,2,54,171,153,128,3,1.189542,1.000000,128,28966.000000,37689.000000,68437.130719,1879427.000000,1.189542,True
1223,zmDw678DA,1746096991,rumor,1362811463,5,161,432,395,300,7,1.369620,1.000000,300,28880.000000,31842.000000,115807.840506,13917652.000000,1.369620,True
1224,zwQy82ddM,2358149763,rumor,1368613086,1,26,127,123,78,5,1.544715,1.000000,78,28864.000000,34324.000000,73384.154472,2169560.000000,1.544715,True
1226,zmcZGsujX,2533580703,rumor,1362568387,0,52,295,289,122,7,2.041522,2.000000,122,29120.000000,71195.000000,70124.207612,963189.000000,2.041522,True
1228,zcrWIbMnO,1734571375,rumor,1357023235,19,153,966,930,567,11,1.790323,1.000000,567,28818.000000,54685.500000,209368.803226,7312465.000000,1.790323,True
1229,z9gC2aH3w,1729369094,rumor,1355214714,0,0,0,98,55,7,1.816327,1.000000,55,31370.000000,33115.000000,197181.867347,7083364.000000,1.816327,True
122,A6WDW1wfa,1925940641,rumor,1377737118,4,38,140,129,14,2,1.891473,2.000000,115,29225.000000,35211.000000,36437.627907,76943.000000,1.891473,True
1230,z0yzGFkY3,2863304174,rumor,1350265368,0,67,284,232,73,12,3.000000,2.000000,73,29401.000000,5208797.000000,5074408.107759,15779550.000000,3.000000,True
1231,yoWpibHQm,2186112322,rumor,1340279167,0,23,111,109,91,4,1.238532,1.000000,91,28832.000000,34566.000000,138097.119266,4140081.000000,1.238532,True
1232,A1w1HERek,2694574213,rumor,1374652092,6,343,935,864,100,2,1.884259,2.000000,764,29974.000000,34227.000000,91942.067130,2433810.000000,1.884259,True
1233,z6wwfpabk,1142648704,rumor,1353655840,1,93,278,256,195,7,1.437500,1.000000,195,28832.000000,31963.500000,104286.585938,10318615.000000,1.437500,True
1234,zqQVXCTMr,2727048505,rumor,1365207302,2,57,183,159,81,5,2.094340,1.000000,81,28865.000000,37136.000000,46364.452830,408546.000000,2.094340,True
1235,z6YjZ9Weu,2433578042,rumor,1353910643,0,27,227,220,170,3,1.240909,1.000000,170,44596.000000,101781.000000,884011.463636,10476958.000000,1.240909,True
1236,zxI186IYI,1615743184,rumor,1369103109,128,196,712,688,622,4,1.113372,1.000000,622,28849.000000,31773.500000,77930.720930,3485055.000000,1.113372,True
1239,yBbvQcUue,1142648704,rumor,1347236226,0,103,173,157,93,5,1.579618,1.000000,93,28843.000000,31077.000000,41752.891720,369867.000000,1.579618,True
123,zxeGYlIzK,1939778775,rumor,1368834351,12,93,674,628,491,4,1.248408,1.000000,491,28964.000000,38593.000000,1066928.753185,40141184.000000,1.248408,True
1240,yxowWAn0h,2882075157,rumor,1345082658,1,72,329,296,110,15,3.016892,2.000000,110,28991.000000,361234.000000,743421.388514,9470775.000000,3.016892,True
1241,z8YP7apV5,1285020581,rumor,1355051680,4,180,492,456,215,9,2.168860,2.000000,215,28868.000000,44944.000000,133868.671053,3086383.000000,2.168860,True
1242,zviO4DYGU,2056346650,rumor,1367735624,0,76,362,348,97,6,2.347701,2.000000,120,29192.000000,51363.500000,133851.106322,2534045.000000,2.347701,True
1243,zdlrFd7YE,1340529235,rumor,1357531877,0,62,140,133,83,4,1.511278,1.000000,83,28857.000000,31007.000000,51361.233083,544564.000000,1.511278,True
1244,A2StHlz6j,2831338425,rumor,1375426075,36,234,309,293,194,2,1.337884,1.000000,194,29314.000000,72194.000000,258034.610922,2384812.000000,1.337884,True
1245,zpoSkoLUy,1602334920,rumor,1364381930,8,118,334,275,204,6,1.381818,1.000000,204,28910.000000,39787.000000,282969.490909,12969280.000000,1.381818,True
1248,zt0mC717G,1684038443,rumor,1366430161,1,18,262,250,112,6,1.892000,2.000000,112,28867.000000,36377.500000,46526.220000,1040326.000000,1.892000,True
1249,z81UzucV4,2861129672,rumor,1354511763,1,85,111,100,38,8,2.510000,2.000000,38,29072.000000,68651.000000,100714.940000,479718.000000,2.510000,True
124,z0IHXzIac,2217120711,rumor,1350358240,3,139,474,452,135,7,2.154867,2.000000,199,30900.000000,36945.500000,123337.847345,4895076.000000,2.154867,True
1251,yyWI9Et9C,2461535184,rumor,1345964138,10,191,815,720,632,3,1.136111,1.000000,632,28867.000000,35717.500000,123696.756944,15487734.000000,1.136111,True
1252,zqlRnngQS,1764857442,rumor,1364922515,0,65,248,239,124,10,2.334728,1.000000,124,29333.000000,73769.000000,89398.916318,632469.000000,2.334728,True
1253,z6kY7CNHA,2130553203,rumor,1353549982,0,20,402,385,78,11,2.966234,3.000000,112,269075.000000,306440.000000,826954.314286,10673392.000000,2.966234,True
1257,A7u4tpG88,3266135112,rumor,1378043480,14,214,625,547,154,3,1.815018,2.000000,339,29103.000000,76123.000000,187265.261905,40612418.000000,1.815018,True
1258,zfHER2lTg,1105901975,rumor,1358871889,1,14,96,91,40,6,1.967033,2.000000,40,29013.000000,86788.000000,96985.637363,518101.000000,1.967033,True
1259,zi85E9eW1,2421351085,rumor,1360250572,1,41,129,105,67,4,1.466667,1.000000,67,28915.000000,55837.000000,60644.533333,625877.000000,1.466667,True
125,ywzO2krSa,1656698101,rumor,1344617780,5,83,152,145,70,5,1.806897,2.000000,70,28993.000000,83402.000000,122127.206897,1052276.000000,1.806897,True
1260,ztqHPyFdY,1945754674,rumor,1366671584,24,101,419,394,142,11,3.439086,2.000000,142,29311.000000,39242.000000,148732.134518,23982316.000000,3.439086,True
